	"Year"	"Year Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"2002"	"2002"	"Missouri"	"29"	55940	5674825	985.76
	"2002"	"2002"	"Montana"	"30"	8506	911667	933.02
	"2002"	"2002"	"Nebraska"	"31"	15738	1728292	910.61
	"2002"	"2002"	"Nevada"	"32"	16927	2173791	778.69
	"2002"	"2002"	"New Hampshire"	"33"	9853	1269089	776.38
	"2002"	"2002"	"New Jersey"	"34"	74009	8552643	865.33
	"2002"	"2002"	"New Mexico"	"35"	14344	1855309	773.13
	"2002"	"2002"	"New York"	"36"	158118	19137800	826.21
	"2002"	"2002"	"North Carolina"	"37"	72027	8326201	865.06
	"2002"	"2002"	"North Dakota"	"38"	5892	638168	923.27
	"2002"	"2002"	"Ohio"	"39"	109766	11407889	962.19
	"2002"	"2002"	"Oklahoma"	"40"	35502	3489080	1017.52
	"2002"	"2002"	"Oregon"	"41"	31119	3513424	885.72
	"2002"	"2002"	"Pennsylvania"	"42"	130223	12331031	1056.06
	"2002"	"2002"	"Rhode Island"	"44"	10246	1065995	961.17
	"2002"	"2002"	"South Carolina"	"45"	37736	4107795	918.64
	"2002"	"2002"	"South Dakota"	"46"	6898	760020	907.61
	"2002"	"2002"	"Tennessee"	"47"	56606	5795918	976.65
	"2002"	"2002"	"Texas"	"48"	155524	21690325	717.02
	"2002"	"2002"	"Utah"	"49"	13116	2324815	564.17
	"2002"	"2002"	"Vermont"	"50"	5075	615442	824.61
	"2002"	"2002"	"Virginia"	"51"	57196	7286873	784.92
	"2002"	"2002"	"Washington"	"53"	45338	6052349	749.10
	"2002"	"2002"	"West Virginia"	"54"	21016	1805414	1164.05
	"2002"	"2002"	"Wisconsin"	"55"	46981	5445162	862.80
	"2002"	"2002"	"Wyoming"	"56"	4174	500017	834.77
	"2003"	"2003"	"Alabama"	"01"	46716	4503491	1037.33
	"2003"	"2003"	"Alaska"	"02"	3180	648414	490.43
	"2003"	"2003"	"Arizona"	"04"	43392	5510364	787.46
	"2003"	"2003"	"Arkansas"	"05"	27918	2724816	1024.58
	"2003"	"2003"	"California"	"06"	239371	35253159	679.01
	"2003"	"2003"	"Colorado"	"08"	29506	4528732	651.53
	"2003"	"2003"	"Connecticut"	"09"	29627	3484336	850.29
	"2003"	"2003"	"Delaware"	"10"	7070	818003	864.30
	"2003"	"2003"	"District of Columbia"	"11"	5573	568502	980.30
	"2003"	"2003"	"Florida"	"12"	168657	17004085	991.86
	"2003"	"2003"	"Georgia"	"13"	66478	8622793	770.96
	"2003"	"2003"	"Hawaii"	"15"	8978	1251154	717.58
	"2003"	"2003"	"Idaho"	"16"	10380	1363380	761.34
	"2003"	"2003"	"Illinois"	"17"	105325	12556006	838.84
	"2003"	"2003"	"Indiana"	"18"	55968	6196638	903.20
	"2003"	"2003"	"Iowa"	"19"	28062	2941999	953.84
	"2003"	"2003"	"Kansas"	"20"	24593	2723004	903.16
	"2003"	"2003"	"Kentucky"	"21"	40241	4117170	977.39
	"2003"	"2003"	"Louisiana"	"22"	42719	4521042	944.89
	"2003"	"2003"	"Maine"	"23"	12540	1306513	959.81
	"2003"	"2003"	"Maryland"	"24"	44499	5496269	809.62
	"2003"	"2003"	"Massachusetts"	"25"	56291	6422565	876.46
	"2003"	"2003"	"Michigan"	"26"	86728	10041152	863.73
	"2003"	"2003"	"Minnesota"	"27"	37620	5053572	744.42
	"2003"	"2003"	"Mississippi"	"28"	28489	2868312	993.23
